:START_ID(Clause),:END_ID(Exclusion),:TYPE
cl_pol_chubb_672aec9c_201a2234,ex_pol_chubb_672aec9c_05fddbc4,STATES_EXCLUSION
cl_pol_allianz(agcs)_63eaac4d_f1b81e47,ex_pol_allianz(agcs)_63eaac4d_8aff342c,STATES_EXCLUSION
cl_pol_qbe_f4a74bc3_71ea9406,ex_pol_qbe_f4a74bc3_20ffd264,STATES_EXCLUSION
cl_pol_liberty_1805efbe_1c8e219b,ex_pol_liberty_1805efbe_44c1a5f8,STATES_EXCLUSION
cl_pol_liberty_1805efbe_303b57a1,ex_pol_liberty_1805efbe_5d068f36,STATES_EXCLUSION
cl_pol_aig_dc5dd427_d717331a,ex_pol_aig_dc5dd427_285d2216,STATES_EXCLUSION
cl_pol_unknown_27bc5d83_366c78eb,ex_pol_unknown_27bc5d83_fc87719b,STATES_EXCLUSION
